id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1427223131320619008,1427223131320619008,2021-08-16 13:58:05 Turkey Standard Time,2021-08-16,13:58:05,+0300,76322572,qirimhaber,Qırım Haber Ajansı,,"Kırım Derneği Çatalca Şubesi, Manavgat’taki yangında mağduriyet yaşayan çiftçilere yardım ulaştırdı #Manavgat #yangın #OrmanınKahramanları #ormanyangınları #çiftçi #KIrımTatarları    https://t.co/Gc0sNMxzoD",tr,[],['https://qha.com.tr/haberler/diaspora/kirim-dernegi-catalca-subesi-manavgat-taki-yanginda-magduriyet-yasayan-ciftcilere-yardim-ulastirdi/336549/'],[],0,0,4,"['manavgat', 'yangın', 'ormanınkahramanları', 'ormanyangınları', 'çiftçi', 'kirımtatarları']",[],https://twitter.com/qirimhaber/status/1427223131320619008,False,,0,,,,,,,,[],,,,
1427211114534907906,1427211114534907906,2021-08-16 13:10:20 Turkey Standard Time,2021-08-16,13:10:20,+0300,76322572,qirimhaber,Qırım Haber Ajansı,,"Ukrayna’nın, orman yangınlarıyla mücadeleye destek vermek için Türkiye’ye gönderdiği uçakların, durumun kontrol altına alınmasının ardından ülkeye geri döndüğü bildirildi. #Ukrayna #Türkiye #yangın #OrmanınKahramanları #ormanyangınları #uçak   https://t.co/5Tg7p9Ldy9",tr,[],['https://qha.com.tr/haberler/guncel/ukrayna-nin-orman-yanginlariyla-mucadeleye-destek-icin-turkiye-ye-gonderdigi-iki-ucak-geri-dondu/336505/'],[],0,0,4,"['ukrayna', 'türkiye', 'yangın', 'ormanınkahramanları', 'ormanyangınları', 'uçak']",[],https://twitter.com/qirimhaber/status/1427211114534907906,False,,0,,,,,,,,[],,,,
1427208327994478596,1427208327994478596,2021-08-16 12:59:16 Turkey Standard Time,2021-08-16,12:59:16,+0300,2998141978,miaserapcetin,Serap ÇETİN,,"Bölgemizde çıkan yangının kontrol altına alınması için tüm ilgili birimler hafta sonu büyük bir mücadele verdiler.Her birine ayrı ayrı teşekkür ediyorum.   Allah ülkemizi, bölgemizi afetlerden muhafaza eylesin.  #OrmanınKahramanları  #OrmanlarımızıKoruyalım  https://t.co/OAmr5TcUYC",tr,[],[],"['https://pbs.twimg.com/media/E852ZtJXMAQs1AQ.jpg', 'https://pbs.twimg.com/media/E852ZtDXoAIZqPF.jpg', 'https://pbs.twimg.com/media/E852ZtNWYAABsqZ.jpg', 'https://pbs.twimg.com/media/E852ZtIWQAMk6OE.jpg']",2,8,37,"['ormanınkahramanları', 'ormanlarımızıkoruyalım']",[],https://twitter.com/miaserapcetin/status/1427208327994478596,False,,1,https://pbs.twimg.com/media/E852ZtJXMAQs1AQ.jpg,,,,,,,[],,,,
1426991966164819969,1426991966164819969,2021-08-15 22:39:31 Turkey Standard Time,2021-08-15,22:39:31,+0300,1374653803723636736,beyzaba95165572,Beyza Başaran,,#YeşilVatan  #OrmanınKahramanları,und,[],[],[],0,0,0,"['yeşilvatan', 'ormanınkahramanları']",[],https://twitter.com/BeyzaBa95165572/status/1426991966164819969,False,https://twitter.com/OGMgovtr/status/1426888885276221445,0,,,,,,,,[],,,,
1426990837712445444,1426990837712445444,2021-08-15 22:35:02 Turkey Standard Time,2021-08-15,22:35:02,+0300,1729131086,macitbay,Macit Saribay 🇹🇷,,Allah tüm #OrmanınKahramanları'ndan razı olsun🙇‍♂️,tr,[],[],[],0,0,1,['ormanınkahramanları'],[],https://twitter.com/Macitbay/status/1426990837712445444,False,https://twitter.com/bekirpakdemirli/status/1426980240316932102,0,,,,,,,,[],,,,
1426982575298461700,1426982575298461700,2021-08-15 22:02:12 Turkey Standard Time,2021-08-15,22:02:12,+0300,1124386376663879681,baykonakbk,Bayram KONAK,,"İnna lillahi ve inna ileyhi raciun. ""Şüphesiz biz Allah’tan geldik ve O'na döneceğiz."" #Sehit lerimize Allah'tan rahmet, ailelerine sabırlar dileriz  teşkilatımızın başı sağolsun . Rabbim mekanlarını âlî eylesin inşallah.  #OrmanınKahramanları  #YesilVatan  #OrmanVatandır  https://t.co/LyZSljqjhZ",tr,[],[],['https://pbs.twimg.com/media/E82pFcLXEAMRlhH.jpg'],0,0,0,"['sehit', 'ormanınkahramanları', 'yesilvatan', 'ormanvatandır']",[],https://twitter.com/baykonakbk/status/1426982575298461700,False,,1,https://pbs.twimg.com/media/E82pFcLXEAMRlhH.jpg,,,,,,,[],,,,
1426961679871619076,1426961679871619076,2021-08-15 20:39:10 Turkey Standard Time,2021-08-15,20:39:10,+0300,955464680436387841,muratturkmen46,Murat TÜRKMEN,,Kahramanmaraş’ta düşen yangın söndürme uçağında Rahmetli olan Orman Mühendisi  Mesai Arkadaşımız Oğuz Avşar AYDIN kardeşimimize  Allah’tan Rahmet ve Şefaat dua ediyorum.  #OrmanınKahramanları  #OrmanMühendisleri  https://t.co/wiQeV5YUM3,tr,[],[],['https://pbs.twimg.com/media/E82WFL3XIAItS56.jpg'],0,0,11,"['ormanınkahramanları', 'ormanmühendisleri']",[],https://twitter.com/Muratturkmen46/status/1426961679871619076,False,,1,https://pbs.twimg.com/media/E82WFL3XIAItS56.jpg,,,,,,,[],,,,
1426953966861099009,1426953966861099009,2021-08-15 20:08:31 Turkey Standard Time,2021-08-15,20:08:31,+0300,1336660959226720256,sizcehaber,Habersizce,,"Kahramanmaraş'ta orman yangını söndürme çalışması sırasında kaza kırıma uğrayan uçağın 8 kişilik mürettebatının cansız bedenleri Adana Adli Tıp Kurumu Morgundan alınırken, 3 Türk için gözyaşları içinde tören düzenlendi. #yangınvar #OrmanınKahramanları",tr,[],[],[],0,0,0,"['yangınvar', 'ormanınkahramanları']",[],https://twitter.com/sizcehaber/status/1426953966861099009,False,,0,,,,,,,,[],,,,
1426944694408335364,1426944694408335364,2021-08-15 19:31:41 Turkey Standard Time,2021-08-15,19:31:41,+0300,1316720242983346183,yesilvatan1923,YEŞİL VATAN,,"İnna lillahi ve inna ileyhi raciun. ""Şüphesiz biz Allah’tan geldik ve O'na döneceğiz."" #Sehit lerimize Allah'tan rahmet, ailelerine sabırlar dileriz  teşkilatımızın başı sağolsun . Rabbim mekanlarını âlî eylesin inşallah.  #OrmanınKahramanları  #YesilVatan  #OrmanVatandır  https://t.co/N49WaAIr3l",tr,[],[],['https://pbs.twimg.com/media/E82GoDhWQAIkG8q.jpg'],1,3,14,"['sehit', 'ormanınkahramanları', 'yesilvatan', 'ormanvatandır']",[],https://twitter.com/yesilvatan1923/status/1426944694408335364,False,,1,https://pbs.twimg.com/media/E82GoDhWQAIkG8q.jpg,,,,,,,[],,,,
1426900426784378886,1426900426784378886,2021-08-15 16:35:46 Turkey Standard Time,2021-08-15,16:35:46,+0300,296188889,fatihmetintr,Fatih Metin,,"#OrmanınKahramanları havada ve karada olası bir yangına karşı teyakkuz halinde ormanlarımızı gözetlemeye devam ediyor.  Yangını söndürmek kadar, yangına neden olmamak için de birlikte mücadele etmeliyiz.  https://t.co/Ete8Z336yk",tr,[],[],"['https://pbs.twimg.com/media/E81eXv2WUAYQ__b.jpg', 'https://pbs.twimg.com/media/E81eXv9WQAQgd14.jpg', 'https://pbs.twimg.com/media/E81eXv-XMAAT26P.jpg', 'https://pbs.twimg.com/media/E81eXv9WUAEay6B.jpg']",0,19,115,['ormanınkahramanları'],[],https://twitter.com/fatihmetintr/status/1426900426784378886,False,,1,https://pbs.twimg.com/media/E81eXv2WUAYQ__b.jpg,,,,,,,[],,,,
